diagnostic_id,item_id,diagnostic_class,source_width,source_height,detected_box_count,accepted_box_count,person_detected,confidence,box_area_ratio,x1,y1,x2,y2,crop_box
PFV4D_0001,P4D_PLAN::PF_P4D_HN_SIT_G001_V01,floor_sitting,1920,1080,1,1,true,0.9072661995887756,0.10659882153272823,672.0223388671875,259.7833557128906,1124.795654296875,747.9819946289062,"581,186,1216,822"
PFV4D_0002,P4D_PLAN::PF_P4D_HN_SIT_G001_V02,floor_sitting,1920,1080,2,2,true,0.31163012981414795,0.0367101029434707,776.1740112304688,384.8615417480469,1022.7335815429688,693.5985717773438,"726,338,1073,740"
PFV4D_0003,P4D_PLAN::PF_P4D_HN_SIT_G001_V03,floor_sitting,1920,1080,1,1,true,0.8354085683822632,0.12756229396292365,817.0878295898438,339.00054931640625,1416.5223388671875,780.271728515625,"697,272,1537,847"
PFV4D_0004,P4D_PLAN::PF_P4D_HN_SIT_G001_V04,floor_sitting,1920,1080,1,1,true,0.9370735287666321,0.19563908504166952,716.0196533203125,357.4068603515625,1449.5343017578125,910.46630859375,"569,274,1597,994"
PFV4D_0005,P4D_PLAN::PF_P4D_HN_SIT_G001_V05,floor_sitting,1920,1080,3,3,true,0.4389847218990326,0.1094197671301663,864.4537353515625,296.022216796875,1435.9888916015625,693.0106201171875,"750,236,1551,753"
PFV4D_0006,P4D_PLAN::PF_P4D_HN_SIT_G002_V01,floor_sitting,1920,1080,1,1,true,0.6082506775856018,0.026413943151613543,878.47265625,281.9101257324219,1134.551513671875,495.79718017578125,"827,249,1186,528"
PFV4D_0007,P4D_PLAN::PF_P4D_HN_SIT_G002_V02,floor_sitting,1920,1080,1,1,true,0.8965926766395569,0.12177197337036044,818.9848022460938,266.9831237792969,1218.732421875,898.6475830078125,"739,172,1299,994"
PFV4D_0008,P4D_PLAN::PF_P4D_HN_SIT_G002_V03,floor_sitting,1920,1080,1,1,true,0.9084184169769287,0.10900542128308177,586.2980346679688,277.30279541015625,1198.4378662109375,646.554443359375,"463,221,1321,702"
PFV4D_0009,P4D_PLAN::PF_P4D_HN_SIT_G002_V04,floor_sitting,1920,1080,1,1,true,0.939516544342041,0.18084914436086152,742.63916015625,303.9053649902344,1511.0487060546875,791.9378051757812,"588,230,1665,866"
PFV4D_0010,P4D_PLAN::PF_P4D_HN_SIT_G002_V05,floor_sitting,1920,1080,1,1,true,0.9162235260009766,0.09036495070387092,692.3858032226562,345.15643310546875,1155.2552490234375,749.9806518554688,"599,284,1248,811"
PFV4D_0011,P4D_PLAN::PF_P4D_HN_SIT_G003_V01,floor_sitting,1920,1080,1,1,true,0.9052770137786865,0.1313814198883106,405.79046630859375,359.6448669433594,957.8955688476562,853.0880737304688,"295,285,1069,928"
PFV4D_0012,P4D_PLAN::PF_P4D_HN_SIT_G003_V02,floor_sitting,1920,1080,1,1,true,0.9201222062110901,0.15939780289979857,832.065673828125,293.5433349609375,1333.878662109375,952.2095947265625,"731,194,1435,1052"
PFV4D_0013,P4D_PLAN::PF_P4D_HN_SIT_G003_V03,floor_sitting,1920,1080,1,1,true,0.9031217098236084,0.4582187618595299,441.207275390625,180.58218383789062,1769.703125,895.7988891601562,"175,73,1920,1004"
PFV4D_0014,P4D_PLAN::PF_P4D_HN_SIT_G003_V04,floor_sitting,1920,1080,1,1,true,0.9298730492591858,0.19195752236555563,577.6685791015625,282.48651123046875,1401.857421875,765.4378662109375,"412,210,1567,838"
PFV4D_0015,P4D_PLAN::PF_P4D_HN_SIT_G003_V05,floor_sitting,1920,1080,1,1,true,0.8943492770195007,0.08003397734554407,720.451904296875,309.8288879394531,1143.533203125,702.0902709960938,"635,250,1229,761"
PFV4D_0016,P4D_PLAN::PF_P4D_HN_SIT_G004_V01,floor_sitting,1920,1080,2,2,true,0.9033639430999756,0.06643798256407288,748.7858276367188,390.7420349121094,1179.77099609375,710.395263671875,"662,342,1266,759"
PFV4D_0017,P4D_PLAN::PF_P4D_HN_SIT_G004_V02,floor_sitting,1920,1080,1,1,true,0.9158511757850647,0.08192863296488617,587.0272216796875,276.2112121582031,939.0359497070312,758.8333740234375,"516,203,1010,832"
PFV4D_0018,P4D_PLAN::PF_P4D_HN_SIT_G004_V03,floor_sitting,1920,1080,1,1,true,0.9173253178596497,0.12326618698889635,587.9613647460938,420.46856689453125,1189.2723388671875,845.5477294921875,"467,356,1310,910"
PFV4D_0019,P4D_PLAN::PF_P4D_HN_SIT_G004_V04,floor_sitting,1920,1080,1,1,true,0.9071036577224731,0.09765913873005451,781.4110107421875,402.724365234375,1274.258056640625,813.614501953125,"682,341,1373,876"
PFV4D_0020,P4D_PLAN::PF_P4D_HN_SIT_G004_V05,floor_sitting,1920,1080,1,1,true,0.9387765526771545,0.11609721481164646,846.7644653320312,265.7269287109375,1271.4757080078125,832.5571899414062,"761,180,1357,918"
PFV4D_0021,P4D_PLAN::PF_P4D_HN_SIT_G005_V01,floor_sitting,1920,1080,1,1,true,0.8636367917060852,0.11269211468765948,722.4439697265625,272.3775329589844,1215.630859375,746.1905517578125,"623,201,1315,818"
PFV4D_0022,P4D_PLAN::PF_P4D_HN_SIT_G005_V02,floor_sitting,1920,1080,3,3,true,0.9090261459350586,0.08935762391976486,847.2903442382812,272.688720703125,1220.18603515625,769.5889892578125,"772,198,1295,845"
PFV4D_0023,P4D_PLAN::PF_P4D_HN_SIT_G005_V03,floor_sitting,1920,1080,1,1,true,0.865303099155426,0.13950295195398033,576.9746704101562,350.4998474121094,1234.5697021484375,790.3956909179688,"445,284,1367,857"
PFV4D_0024,P4D_PLAN::PF_P4D_HN_SIT_G005_V04,floor_sitting,1920,1080,1,1,true,0.8976218104362488,0.060911443139945426,761.4603881835938,387.0654602050781,1172.435302734375,694.3980102539062,"679,340,1255,741"
PFV4D_0025,P4D_PLAN::PF_P4D_HN_SIT_G005_V05,floor_sitting,1920,1080,1,1,true,0.9342571496963501,0.28218479511493166,568.6532592773438,70.0085220336914,1368.4083251953125,801.655517578125,"408,0,1529,912"
PFV4D_0026,P4D_PLAN::PF_P4D_HN_SIT_G006_V01,floor_sitting,1920,1080,1,1,true,0.9124320149421692,0.11358616245309405,655.19970703125,263.61328125,1170.5853271484375,720.6152954101562,"552,195,1274,790"
PFV4D_0027,P4D_PLAN::PF_P4D_HN_SIT_G006_V02,floor_sitting,1920,1080,1,1,true,0.9087303280830383,0.06039400741855692,1241.6170654296875,206.17410278320312,1518.2506103515625,658.8777465820312,"1186,138,1574,727"
PFV4D_0028,P4D_PLAN::PF_P4D_HN_SIT_G006_V03,floor_sitting,1920,1080,3,2,true,0.7994920611381531,0.0526300329383643,612.6412353515625,347.9969787597656,1028.747802734375,610.270263671875,"529,308,1112,650"
PFV4D_0029,P4D_PLAN::PF_P4D_HN_SIT_G006_V04,floor_sitting,1920,1080,1,1,true,0.9058285355567932,0.09431419934899662,864.5571899414062,460.9866027832031,1397.3515625,828.0511474609375,"757,405,1504,884"
