dataset,request_index,request_id,media_id,timestamp_start_utc,timestamp_end_utc,wall_span_seconds,client_latency_seconds,total_duration_ns,total_duration_seconds,load_duration_ns,load_duration_seconds,prompt_eval_duration_ns,prompt_eval_duration_seconds,eval_duration_ns,eval_duration_seconds,client_overhead_seconds,load_ratio,prompt_eval_ratio,eval_ratio,prompt_eval_count,eval_count,done,done_reason,http_code,prompt_sha256,config_fingerprint,model,format,think,stream,generation_options,high_load,image_sha256,image_path,image_width,image_height,image_bytes,processed_sha256
SCREEN,1,P2_SCREEN_C3_20260826_231841_001,IMG_003702,2026-08-26T15:18:41.598818+00:00,2026-08-26T15:18:43.251984+00:00,1.653166,1.5896389484405518,1580967769,1.580967769,477151135,0.477151135,115217411,0.115217411,468556387,0.468556387,0.008671179440551846,0.30180952727569493,0.07287777351266167,0.2963731432022635,598,60,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,5f82ee8030a64dfae05bb4583c289b09c8ebc33280dc2f6e4a53a10bbb60b2fc,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003702.jpg,448,336,18727,027e6638191e2d4a9e7850e8215a4ba043eba9b7e2e09cc2f9e57c9ddcdadd3d
SCREEN,2,P2_SCREEN_C3_20260826_231841_002,IMG_003703,2026-08-26T15:18:43.253043+00:00,2026-08-26T15:18:44.661275+00:00,1.408232,1.3527555465698242,1345120399,1.345120399,469853443,0.469853443,115289460,0.11528946,374200833,0.374200833,0.007635147569824197,0.3493021467441146,0.08570939827074914,0.27819133014278224,598,47,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,5e18806b0d663d3a7b16e0bf3564749c245323f6fc828cd80add4c68d279c87f,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003703.jpg,448,336,18029,347bac76e44054c651596bc915a116f297dd9bb6a22acfbd19165512684032cc
SCREEN,3,P2_SCREEN_C3_20260826_231841_003,IMG_003704,2026-08-26T15:18:44.662297+00:00,2026-08-26T15:18:46.216926+00:00,1.554629,1.5010409355163574,1495327750,1.49532775,425658564,0.425658564,115113790,0.11511379,403714265,0.403714265,0.005713185516357466,0.2846590414710086,0.07698231374359234,0.2699837978663875,598,50,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,27d688b997b3048bf57efd35520fa34bd3adccda66575f1ddb0bcc298629ce4b,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003704.jpg,448,336,12549,aa1b9c8129ef38797882156d7489a8696729e50431c85d4db271eda9ec7fadda
SCREEN,4,P2_SCREEN_C3_20260826_231841_004,IMG_003705,2026-08-26T15:18:46.217886+00:00,2026-08-26T15:18:47.797549+00:00,1.579663,1.52467942237854,1516835547,1.516835547,451974992,0.451974992,113209092,0.113209092,507303418,0.507303418,0.007843875378540144,0.2979723101122709,0.07463504677478396,0.33444852937640185,598,62,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,4bca926036b8d0324b411c6828586467b408df92eb1db27af3b8dd25bf443e17,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003705.jpg,448,336,18392,f89c52e260eef7c60e413558c3f16a2893e2f7cbcfe1d81ea96cf33c93106385
SCREEN,5,P2_SCREEN_C3_20260826_231841_005,IMG_003706,2026-08-26T15:18:47.799189+00:00,2026-08-26T15:18:49.400954+00:00,1.601765,1.5469818115234375,1539191878,1.539191878,421557219,0.421557219,113332411,0.113332411,539883868,0.539883868,0.007789933523437487,0.2738821748122556,0.073631112936525,0.350758002115705,598,66,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,2b6115e018583759cfe5df4bd1fcd315bb592af2d089c3a701da59fbbbf0e6e0,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003706.jpg,448,336,11761,4dd888e216cad140f2d5cef11d6ae8e9de388a1e72933f5a50693f644ecd84b1
SCREEN,6,P2_SCREEN_C3_20260826_231841_006,IMG_003707,2026-08-26T15:18:49.402005+00:00,2026-08-26T15:18:51.120221+00:00,1.718216,1.6647536754608154,1656612874,1.656612874,470169554,0.470169554,111951321,0.111951321,556221512,0.556221512,0.008140801460815528,0.283813775311757,0.0675784444012476,0.335758293762964,598,71,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,73bc09ee9ef0fd6bbb582bbe0db98cd4469f12a8834626f5fa2cc0b71ba6acbd,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003707.jpg,448,336,14140,33c3e764d1c2a3796083bdbff96b76ec0010c3340a2e53407ccd918e92ae5785
SCREEN,7,P2_SCREEN_C3_20260826_231841_007,IMG_003708,2026-08-26T15:18:51.121377+00:00,2026-08-26T15:18:52.743773+00:00,1.622396,1.564798355102539,1556264525,1.556264525,476039118,0.476039118,140415345,0.140415345,414968005,0.414968005,0.008533830102539053,0.3058857349459919,0.09022588560257774,0.26664361895674515,598,51,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,aebf6050b3fb73755b48cad44728ca0f55ae95c078047887335bcfcc57776c47,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003708.jpg,448,336,16860,d57bc2bce43c5312f40495e16e9f589e3358aefee64dea8020bb4b96610c6a07
SCREEN,8,P2_SCREEN_C3_20260826_231841_008,IMG_003709,2026-08-26T15:18:52.744694+00:00,2026-08-26T15:18:54.291565+00:00,1.546871,1.4931185245513916,1483332989,1.483332989,422568106,0.422568106,112670319,0.112670319,413512083,0.413512083,0.009785535551391611,0.2848774409614374,0.07595753605935612,0.2787722554992674,598,51,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,d9f51b8ff2d02493d7ecd7d16b28d4480d32456bbd87bf21b040cc6b3d4eeb33,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003709.jpg,448,336,12492,80a4286a8a4c70cda9e1b748d598429eac592cba1f4fb24a5d0f372d1460a3ef
SCREEN,9,P2_SCREEN_C3_20260826_231841_009,IMG_003710,2026-08-26T15:18:54.292726+00:00,2026-08-26T15:18:55.684256+00:00,1.39153,1.3360216617584229,1328084331,1.328084331,422745342,0.422745342,112499090,0.11249909,367536871,0.367536871,0.007937330758422956,0.3183121223045286,0.08470779104463359,0.2767421182683918,598,46,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,b18857cefb35aee71924a5cca2bd68a70cb29e28e5ec82e53e447f3301f1da13,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003710.jpg,448,336,21699,339e872e31b0eaebb3b2f876f538db2cfea80bb54b561ec1f417c761bdc2de3d
SCREEN,10,P2_SCREEN_C3_20260826_231841_010,IMG_003711,2026-08-26T15:18:55.685168+00:00,2026-08-26T15:18:57.281548+00:00,1.59638,1.5441792011260986,1536540364,1.536540364,487161421,0.487161421,118153033,0.118153033,402173795,0.402173795,0.0076388371260986965,0.31705084514135157,0.07689549573069335,0.26173981785485984,598,50,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,qwen3.5:4b,json,False,False,"{""num_ctx"":8192,""num_predict"":256,""temperature"":0}",False,5785e793610f7f7677b6c4d9b947c828a4e56e2d327d06adba47f377dfb5dc43,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003711.jpg,448,336,14159,f83fd2b435fb2f010d245a0f838713b46bdd4bd3e4d092b454ee53f1dc4fd45a
