review_row_id,prompt_id,image_path,image_path_uri,raw_path,group_id,planned_split,planned_role,taxonomy,provider,historical_adapter_version,accept_reject_uncertain,reviewed_event_label,reviewed_sample_role,semantic_alignment,image_artifact_status,review_status,reviewer,review_timestamp,notes
PFV2-FC-0001,PF_P4D_HN_SIT_G001_V01,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V01.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V01.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V01.png,PF_P4D_HN_SIT_G001,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0002,PF_P4D_HN_SIT_G001_V02,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V02.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V02.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V02.png,PF_P4D_HN_SIT_G001,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0003,PF_P4D_HN_SIT_G001_V03,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V03.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V03.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V03.png,PF_P4D_HN_SIT_G001,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0004,PF_P4D_HN_SIT_G001_V04,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V04.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V04.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V04.png,PF_P4D_HN_SIT_G001,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0005,PF_P4D_HN_SIT_G001_V05,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V05.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V05.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V05.png,PF_P4D_HN_SIT_G001,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0006,PF_P4D_HN_SIT_G002_V01,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V01.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V01.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V01.png,PF_P4D_HN_SIT_G002,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0007,PF_P4D_HN_SIT_G002_V02,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V02.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V02.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V02.png,PF_P4D_HN_SIT_G002,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0008,PF_P4D_HN_SIT_G002_V03,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V03.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V03.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V03.png,PF_P4D_HN_SIT_G002,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0009,PF_P4D_HN_SIT_G002_V04,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V04.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V04.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V04.png,PF_P4D_HN_SIT_G002,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
PFV2-FC-0010,PF_P4D_HN_SIT_G002_V05,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V05.png,file:///home/yanbo/%E4%B8%8B%E8%BD%BD/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V05.png,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V05.png,PF_P4D_HN_SIT_G002,NEW_DESIGN,hard_negative,floor_sitting,codex,LEGACY_NO_ADAPTER,,,,,,unreviewed,,,
