media_id,image_filename,formal_relative_path,source_image_path,image_sha256,prompt_filename,prompt_path,prompt_sha256,event_label,sample_role,scenario_id,group_id,split,split_reason,source_type,event_definition_version,gt_basis,review_status,image_path
IMG_003982,01_p01-supine-on-floor-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003982.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/01_p01-supine-on-floor-01.png,3f8831314ec9403dafb006291009877fe8a2d85b9930710f92a6048b23d50c70,01_p01-supine-on-floor-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/01_p01-supine-on-floor-01.txt,9ee55e2d521004485d60ad1252498f0b142acc01a3c2d29b697b95c77eaa52ed,1,positive,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003982.png
IMG_003992,11_p02-supine-on-floor-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003992.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/11_p02-supine-on-floor-01.png,b4de656feff104baf2db6ddaddd657dbf850a940b31683a66e179b52e650ffba,11_p02-supine-on-floor-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/11_p02-supine-on-floor-01.txt,88d99aa46f5c0629fb646fbe1cab63417167e3682794869c0b7687706d7161de,1,positive,pf_v2_aigc_p02-supine-on-floor,pf_v2_aigc_p02-supine-on-floor,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003992.png
IMG_004002,21_p03-prone-on-floor-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_004002.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/21_p03-prone-on-floor-01.png,f0afef1f06a16d9f91cbc9eb9a52cecd79d692a10c0624b6f169255a562f6374,21_p03-prone-on-floor-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/21_p03-prone-on-floor-01.txt,6a930f25e9052b7138e3d818d094cfc97049267377a7586c4e199432b20ea58b,1,positive,pf_v2_aigc_p03-prone-on-floor,pf_v2_aigc_p03-prone-on-floor,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_004002.png
IMG_004012,31_p04-prone-on-floor-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_004012.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/31_p04-prone-on-floor-01.png,b0bc6b665f847380a62540bd0387a6356f273185253e134cc9d731120aee9ba7,31_p04-prone-on-floor-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/31_p04-prone-on-floor-01.txt,950f1d629a056472236b0d35434bd68e21126c2bebf348640f486ac25f231ec4,1,positive,pf_v2_aigc_p04-prone-on-floor,pf_v2_aigc_p04-prone-on-floor,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_004012.png
IMG_003882,201_n01-normal-standing-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003882.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/201_n01-normal-standing-01.png,457cfa92c5ab41f354d579c4d14852a123235fc8e559db33a211b7302b050029,201_n01-normal-standing-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/201_n01-normal-standing-01.txt,42d5884345726c7e9955de38ba0452da92b7843de26821c899c4707706f39dcf,0,negative,pf_v2_aigc_n01-normal-standing,pf_v2_aigc_n01-normal-standing,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003882.png
IMG_003892,211_n02-normal-walking-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003892.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/211_n02-normal-walking-01.png,84620ef986b653f83fe4161a06054c03b14bfde35ca3588d66b6dcdfeb104929,211_n02-normal-walking-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/211_n02-normal-walking-01.txt,989e64b917cbe5846b077fccd3bdd3c7d946dca5b557a01eb0ae543b970c8b3e,0,negative,pf_v2_aigc_n02-normal-walking,pf_v2_aigc_n02-normal-walking,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003892.png
IMG_003702,301_h01-sitting-on-floor-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003702.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/301_h01-sitting-on-floor-01.png,5f82ee8030a64dfae05bb4583c289b09c8ebc33280dc2f6e4a53a10bbb60b2fc,301_h01-sitting-on-floor-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/301_h01-sitting-on-floor-01.txt,f53d4fbdabfb953bc5195743b9e6574c2f4d6fdb694315bbbd7449214be8c1cc,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003702.png
IMG_003712,311_h02-sitting-on-floor-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003712.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/311_h02-sitting-on-floor-01.png,a08dc0677c5f0c67aecd4897fe8c39f6112c2732b2182b3d889b03b5a98b617d,311_h02-sitting-on-floor-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/311_h02-sitting-on-floor-01.txt,3fa1db199a0cddb648594d401a005be8a99dfe91b47fa37c3efd9f78209be731,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003712.png
IMG_003722,321_h03-kneeling-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003722.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/321_h03-kneeling-01.png,8abaec058bf120acbbc5434c306d186beb4b4ab37623f024a025f10b349d0950,321_h03-kneeling-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/321_h03-kneeling-01.txt,287e1318dbc2df9c1d1eaf8d9f26f8c9efa184db5f28d9cfe4c2abe4579a2d95,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003722.png
IMG_003732,331_h04-kneeling-01.png,00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003732.png,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/331_h04-kneeling-01.png,5c88c36cb9519b09e448c3487508aa73ed4bd2a763f46680bf9322017a3df9e0,331_h04-kneeling-01.txt,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/331_h04-kneeling-01.txt,8e1234a7980bb91280847aedb6238f35ce8f7b81881dd010c2f61e12de67bbc6,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,first deterministic role-group tranche,ai_generated,v2.0,user_confirmed_prompt_image_alignment,unreviewed,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/batch_person-fallen-v2-camera1p5m/IMG_003732.png
